Postcode;Plaatsnaam;Deelgemeente;Hoofdgemeente;Provincie
6900;Hargimont;Ja;MARCHE-EN-FAMENNE;Luxemburg
7022;Harmignies;Ja;MONS;Henegouwen
6767;Harnoncourt;Ja;ROUVROY;Luxemburg
6960;Harre;Ja;MANHAY;Luxemburg
6950;Harsin;Ja;NASSOGNE;Luxemburg
7022;Harveng;Ja;MONS;Henegouwen
4920;Harzé;Ja;AYWAILLE;Luik
3500;HASSELT;Neen;HASSELT;Limburg
5540;HASTIÈRE;Neen;HASTIÈRE;Namen
5540;Hastière-Lavaux;Ja;HASTIÈRE;Namen
5541;Hastière-Par-Delà;Ja;HASTIÈRE;Namen
6870;Hatrival;Ja;SAINT-HUBERT;Luxemburg
7120;Haulchin;Ja;ESTINNES;Henegouwen
4730;Hauset;Ja;RAEREN;Luik
6929;Haut-Fays;Ja;DAVERDISSE;Luxemburg
1461;Haut-Ittre;Ja;ITTRE;Waals-Brabant
5537;Haut-Le-Wastia;Ja;ANHÉE;Namen
7334;Hautrage;Ja;SAINT-GHISLAIN;Henegouwen
7041;Havay;Ja;QUÉVY;Henegouwen
5370;HAVELANGE;Neen;HAVELANGE;Namen
5590;Haversin;Ja;CINEY;Namen
7531;Havinnes;Ja;TOURNAI;Henegouwen
7021;Havré;Ja;MONS;Henegouwen
3940;Hechtel;Ja;HECHTEL-EKSEL;Limburg
3940;HECHTEL-EKSEL;Neen;HECHTEL-EKSEL;Limburg
5543;Heer;Ja;HASTIÈRE;Namen
3870;HEERS;Neen;HEERS;Limburg
3740;Hees;Ja;BILZEN;Limburg
8551;Heestert;Ja;ZWEVEGEM;West-Vlaanderen
2801;Heffen;Ja;MECHELEN;Antwerpen
1670;Heikruis;Ja;PEPINGEN;Vlaams-Brabant
2830;Heindonk;Ja;WILLEBROEK;Antwerpen
6700;Heinsch;Ja;ARLON;Luxemburg
8301;Heist-Aan-Zee;Ja;KNOKKE-HEIST;West-Vlaanderen
2220;HEIST-OP-DEN-BERG;Neen;HEIST-OP-DEN-BERG;Antwerpen
1790;Hekelgem;Ja;AFFLIGEM;Vlaams-Brabant
3870;Heks;Ja;HEERS;Limburg
3530;Helchteren;Ja;HOUTHALEN-HELCHTEREN;Limburg
9450;Heldergem;Ja;HAALTERT;Oost-Vlaanderen 
1357;HÉLÉCINE;Neen;HÉLÉCINE;Waals-Brabant
3440;Helen-Bos;Ja;ZOUTLEEUW;Vlaams-Brabant
8587;Helkijn;Ja;SPIERE-HELKIJN;West-Vlaanderen
7830;Hellebecq;Ja;SILLY;Henegouwen
9571;Hemelveerdegem;Ja;LIERDE;Oost-Vlaanderen 
2620;HEMIKSEM;Neen;HEMIKSEM;Antwerpen
5380;Hemptinne;Ja;FERNELMONT;Namen
5620;Hemptinne-Lez-Florennes;Ja;FLORENNES;Namen
3840;Hendrieken;Ja;BORGLOON;Limburg
3700;Henis;Ja;TONGEREN;Limburg
7090;Hennuyères;Ja;BRAINE-LE-COMTE;Henegouwen
4841;Henri-Chapelle;Ja;WELKENRAEDT;Luik
7090;Henripont;Ja;BRAINE-LE-COMTE;Henegouwen
7350;HENSIES;Neen;HENSIES;Henegouwen
3971;Heppen;Ja;LEOPOLDSBURG;Limburg
4771;Heppenbach;Ja;AMEL;Luik
6220;Heppignies;Ja;FLEURUS;Henegouwen
6887;HERBEUMONT;Neen;HERBEUMONT;Luxemburg
7050;Herchies;Ja;JURBISE;Henegouwen
3770;Herderen;Ja;RIEMST;Limburg
9310;Herdersem;Ja;AALST;Oost-Vlaanderen 
3020;HERENT;Neen;HERENT;Vlaams-Brabant
2200;HERENTALS;Neen;HERENTALS;Antwerpen
2270;HERENTHOUT;Neen;HERENTHOUT;Antwerpen
1540;Herfelingen;Ja;HERNE;Vlaams-Brabant
4728;Hergenrath;Ja;KELMIS;Luik
7742;Hérinnes-Lez-Pecq;Ja;PECQ;Henegouwen
3540;HERK-DE-STAD;Neen;HERK-DE-STAD;Limburg
4681;Hermalle-Sous-Argenteau;Ja;OUPEYE;Luik
4480;Hermalle-Sous-Huy;Ja;ENGIS;Luik
4680;Hermée;Ja;OUPEYE;Luik
5540;Hermeton-Sur-Meuse;Ja;HASTIÈRE;Namen
1540;HERNE;Neen;HERNE;Vlaams-Brabant
4217;HÉRON;Neen;HÉRON;Luik
7911;Herquegies;Ja;FRASNES-LEZ-ANVAING;Henegouwen
7712;Herseaux;Ja;MOESKROEN;Henegouwen
2230;HERSELT;Neen;HERSELT;Antwerpen
4040;HERSTAL;Neen;HERSTAL;Luik
3717;HERSTAPPE;Neen;HERSTAPPE;Limburg
7522;Hertain;Ja;TOURNAI;Henegouwen
3831;Herten;Ja;WELLEN;Limburg
8020;Hertsberge;Ja;OOSTKAMP;West-Vlaanderen
4650;HERVE;Neen;HERVE;Luik
9550;HERZELE;Neen;HERZELE;Oost-Vlaanderen 
8501;Heule;Ja;KORTRIJK;West-Vlaanderen
5377;Heure;Ja;SOMME-LEUZE;Namen
4682;Heure-Le-Romain;Ja;OUPEYE;Luik
9700;Heurne;Ja;OUDENAARDE;Oost-Vlaanderen 
3550;Heusden;Ja;HEUSDEN-ZOLDER;Limburg
9070;Heusden;Ja;DESTELBERGEN;Oost-Vlaanderen 
3550;HEUSDEN-ZOLDER;Neen;HEUSDEN-ZOLDER;Limburg
4802;Heusy;Ja;VERVIERS;Luik
8950;HEUVELLAND;Neen;HEUVELLAND;West-Vlaanderen
3191;Hever;Ja;BOORTMEERBEEK;Vlaams-Brabant
3001;Heverlee;Ja;LEUVEN;Vlaams-Brabant
1435;Hévillers;Ja;MONT-SAINT-GUIBERT;Waals-Brabant
6941;Heyd;Ja;DURBUY;Luxemburg
1733;HighCo DATA;;HighCo DATA;
9550;Hillegem;Ja;HERZELE;Oost-Vlaanderen 
2880;Hingene;Ja;BORNEM;Antwerpen
5380;Hingeon;Ja;FERNELMONT;Namen
6984;Hives;Ja;LA ROCHE-EN-ARDENNE;Luxemburg
2660;Hoboken;Ja;ANTWERPEN;Antwerpen
4351;Hodeige;Ja;REMICOURT;Luik
6987;Hodister;Ja;RENDEUX;Luxemburg
4162;Hody;Ja;ANTHISNES;Luik
3320;HOEGAARDEN;Neen;HOEGAARDEN;Vlaams-Brabant
1560;HOEILAART;Neen;HOEILAART;Vlaams-Brabant
8340;Hoeke;Ja;DAMME;West-Vlaanderen
3746;Hoelbeek;Ja;BILZEN;Limburg
3471;Hoeleden;Ja;KORTENAKEN;Vlaams-Brabant
3840;Hoepertingen;Ja;BORGLOON;Limburg
3730;HOESELT;Neen;HOESELT;Limburg
2940;Hoevenen;Ja;STABROEK;Antwerpen
1981;Hofstade;Ja;ZEMST;Vlaams-Brabant
9308;Hofstade;Ja;AALST;Oost-Vlaanderen 
5377;Hogne;Ja;SOMME-LEUZE;Namen
4342;Hognoul;Ja;AWANS;Luik
7620;Hollain;Ja;BRUNEHAUT;Henegouwen
6637;Hollange;Ja;FAUVILLERS;Luxemburg
8902;Hollebeke;Ja;IEPER;West-Vlaanderen
4460;Hollogne-Aux-Pierres;Ja;GRÂCE-HOLLOGNE;Luik
4250;Hollogne-Sur-Geer;Ja;GEER;Luik
3220;HOLSBEEK;Neen;HOLSBEEK;Vlaams-Brabant
2811;Hombeek;Ja;MECHELEN;Antwerpen
4852;Hombourg;Ja;PLOMBIÈRES;Luik
6640;Hompré;Ja;VAUX-SUR-SÛRE;Luxemburg
6780;Hondelange;Ja;MESSANCY;Luxemburg
5570;Honnay;Ja;BEAURAING;Namen
7387;HONNELLES;Neen;HONNELLES;Henegouwen
8830;HOOGLEDE;Neen;HOOGLEDE;West-Vlaanderen
8690;Hoogstade;Ja;ALVERINGEM;West-Vlaanderen
2320;HOOGSTRATEN;Neen;HOOGSTRATEN;Antwerpen
9667;HOREBEKE;Neen;HOREBEKE;Oost-Vlaanderen 
4460;Horion-Hozémont;Ja;GRÂCE-HOLLOGNE;Luik
7301;Hornu;Ja;BOUSSU;Henegouwen
3870;Horpmaal;Ja;HEERS;Limburg
7060;Horrues;Ja;SOIGNIES;Henegouwen
6990;HOTTON;Neen;HOTTON;Luxemburg
6724;Houdemont;Ja;HABAY;Luxemburg
7110;Houdeng-Aimeries;Ja;LA LOUVIÈRE;Henegouwen
7110;Houdeng-Goegnies;Ja;LA LOUVIÈRE;Henegouwen
5575;Houdremont;Ja;GEDINNE;Namen
6660;HOUFFALIZE;Neen;HOUFFALIZE;Luxemburg
5563;Hour;Ja;HOUYET;Namen
4671;Housse;Ja;BLÉGNY;Luik
1476;Houtain-Le-Val;Ja;GENAPPE;Waals-Brabant
4682;Houtain-Saint-Siméon;Ja;OUPEYE;Luik
7812;Houtaing;Ja;ATH;Henegouwen
8377;Houtave;Ja;ZUIENKERKE;West-Vlaanderen
8630;Houtem;Ja;VEURNE;West-Vlaanderen
3530;Houthalen;Ja;HOUTHALEN-HELCHTEREN;Limburg
3530;HOUTHALEN-HELCHTEREN;Neen;HOUTHALEN-HELCHTEREN;Limburg
7781;Houthem;Ja;KOMEN-WAASTEN;Henegouwen
8650;HOUTHULST;Neen;HOUTHULST;West-Vlaanderen
2235;Houtvenne;Ja;HULSHOUT;Antwerpen
3390;Houwaart;Ja;TIELT-WINGE;Vlaams-Brabant
5530;Houx;Ja;YVOIR;Namen
5560;HOUYET;Neen;HOUYET;Namen
2540;HOVE;Neen;HOVE;Antwerpen
7830;Hoves;Ja;SILLY;Henegouwen
7624;Howardries;Ja;BRUNEHAUT;Henegouwen
4520;Huccorgne;Ja;WANZE;Luik
9750;Huise;Ja;KRUISEM;Oost-Vlaanderen 
7950;Huissignies;Ja;CHIÈVRES;Henegouwen
1654;Huizingen;Ja;BEERSEL;Vlaams-Brabant
3040;HULDENBERG;Neen;HULDENBERG;Vlaams-Brabant
2235;HULSHOUT;Neen;HULSHOUT;Antwerpen
5560;Hulsonniaux;Ja;HOUYET;Namen
8531;Hulste;Ja;HARELBEKE;West-Vlaanderen
6900;Humain;Ja;MARCHE-EN-FAMENNE;Luxemburg
1851;Humbeek;Ja;GRIMBERGEN;Vlaams-Brabant
9630;Hundelgem;Ja;ZWALM;Oost-Vlaanderen 
1367;Huppaye;Ja;RAMILLIES;Waals-Brabant
4500;HUY;Neen;HUY;Luik
7022;Hyon;Ja;MONS;Henegouwen
8480;ICHTEGEM;Neen;ICHTEGEM;West-Vlaanderen
9472;Iddergem;Ja;DENDERLEEUW;Oost-Vlaanderen 
9506;Idegem;Ja;GERAARDSBERGEN;Oost-Vlaanderen 
8900;IEPER;Neen;IEPER;West-Vlaanderen
9340;Impe;Ja;LEDE;Oost-Vlaanderen 
1315;INCOURT;Neen;INCOURT;Waals-Brabant
8770;INGELMUNSTER;Neen;INGELMUNSTER;West-Vlaanderen
8570;Ingooigem;Ja;ANZEGEM;West-Vlaanderen
1041;International press center;;International press center;
7801;Irchonwelz;Ja;ATH;Henegouwen
7822;Isières;Ja;ATH;Henegouwen
5032;Isnes;Ja;GEMBLOUX;Namen
2222;Itegem;Ja;HEIST-OP-DEN-BERG;Antwerpen
1701;Itterbeek;Ja;DILBEEK;Vlaams-Brabant
1460;ITTRE;Neen;ITTRE;Waals-Brabant
4400;Ivoz-Ramet;Ja;FLÉMALLE;Luik
8870;IZEGEM;Neen;IZEGEM;West-Vlaanderen
6810;Izel;Ja;CHINY;Luxemburg
8691;Izenberge;Ja;ALVERINGEM;West-Vlaanderen
6941;Izier;Ja;DURBUY;Luxemburg
8490;JABBEKE;Neen;JABBEKE;West-Vlaanderen
4845;JALHAY;Neen;JALHAY;Luik
5354;Jallet;Ja;OHEY;Namen
5600;Jamagne;Ja;PHILIPPEVILLE;Namen
5100;Jambes;Ja;NAMUR;Namen
5600;Jamiolle;Ja;PHILIPPEVILLE;Namen
6120;Jamioulx;Ja;HAM-SUR-HEURE;Henegouwen
6810;Jamoigne;Ja;CHINY;Luxemburg
1350;Jandrain-Jandrenouille;Ja;ORP-JAUCHE;Waals-Brabant
1350;Jauche;Ja;ORP-JAUCHE;Waals-Brabant
1370;Jauchelette;Ja;JODOIGNE;Waals-Brabant
5570;Javingue;Ja;BEAURAING;Namen
4540;Jehay;Ja;AMAY;Luik
6880;Jehonville;Ja;BERTRIX;Luxemburg
7012;Jemappes;Ja;MONS;Henegouwen
5580;Jemelle;Ja;ROCHEFORT;Namen
5589;Jemelle;;Jemelle;
4101;Jemeppe-Sur-Meuse;Ja;SERAING;Luik
5190;JEMEPPE-SUR-SAMBRE;Neen;JEMEPPE-SUR-SAMBRE;Namen
4357;Jeneffe;Ja;DONCEEL;Luik
5370;Jeneffe;Ja;HAVELANGE;Namen
3840;Jesseren;Ja;BORGLOON;Limburg
1090;JETTE;Neen;JETTE;Brussel (19 gemeenten)
3890;Jeuk;Ja;GINGELOM;Limburg
1370;JODOIGNE;Neen;JODOIGNE;Waals-Brabant
1370;Jodoigne-Souveraine;Ja;JODOIGNE;Waals-Brabant
7620;Jollain-Merlin;Ja;BRUNEHAUT;Henegouwen
6280;Joncret;Ja;GERPINNES;Henegouwen
4650;Julémont;Ja;HERVE;Luik
6040;Jumet;Ja;CHARLEROI;Henegouwen
4020;Jupille-Sur-Meuse;Ja;LIÈGE;Luik
4450;JUPRELLE;Neen;JUPRELLE;Luik
7050;JURBISE;Neen;JURBISE;Henegouwen
6642;Juseret;Ja;VAUX-SUR-SÛRE;Luxemburg
8600;Kaaskerke;Ja;DIKSMUIDE;West-Vlaanderen
8870;Kachtem;Ja;IZEGEM;West-Vlaanderen
3293;Kaggevinne;Ja;DIEST;Vlaams-Brabant
7540;Kain;Ja;TOURNAI;Henegouwen
9270;Kalken;Ja;LAARNE;Oost-Vlaanderen 
9120;Kallo;Ja;BEVEREN-WAAS;Oost-Vlaanderen 
9130;Kallo;Ja;BEVEREN-WAAS;Oost-Vlaanderen 
2920;KALMTHOUT;Neen;KALMTHOUT;Antwerpen
1008;Kamer van Volksvertegenwoordigers;;Kamer van Volksvertegenwoordigers;
1910;KAMPENHOUT;Neen;KAMPENHOUT;Vlaams-Brabant
8700;Kanegem;Ja;TIELT;West-Vlaanderen
3770;Kanne;Ja;RIEMST;Limburg
1880;KAPELLE-OP-DEN-BOS;Neen;KAPELLE-OP-DEN-BOS;Vlaams-Brabant
2950;KAPELLEN;Neen;KAPELLEN;Antwerpen
3381;Kapellen;Ja;GLABBEEK;Vlaams-Brabant
9970;KAPRIJKE;Neen;KAPRIJKE;Oost-Vlaanderen 
8572;Kaster;Ja;ANZEGEM;West-Vlaanderen
2460;KASTERLEE;Neen;KASTERLEE;Antwerpen
3950;Kaulille;Ja;BOCHOLT;Limburg
3140;KEERBERGEN;Neen;KEERBERGEN;Vlaams-Brabant
8600;Keiem;Ja;DIKSMUIDE;West-Vlaanderen
4720;KELMIS;Neen;KELMIS;Luik
4367;Kemexhe;Ja;CRISNÉE;Luik
8956;Kemmel;Ja;HEUVELLAND;West-Vlaanderen
9190;Kemzeke;Ja;STEKENE;Oost-Vlaanderen 
8581;Kerkhove;Ja;AVELGEM;West-Vlaanderen
3370;Kerkom;Ja;BOUTERSEM;Vlaams-Brabant
3800;Kerkom-Bij-Sint-Truiden;Ja;SINT-TRUIDEN;Limburg
9451;Kerksken;Ja;HAALTERT;Oost-Vlaanderen 
3510;Kermt;Ja;HASSELT;Limburg
3840;Kerniel;Ja;BORGLOON;Limburg
3472;Kersbeek-Miskom;Ja;KORTENAKEN;Vlaams-Brabant
2560;Kessel;Ja;NIJLEN;Antwerpen
3010;Kessel Lo;Ja;LEUVEN;Vlaams-Brabant
3640;Kessenich;Ja;KINROOI;Limburg
1755;Kester;Ja;GOOIK;Vlaams-Brabant
4701;Kettenis;Ja;EUPEN;Luik
5060;Keumiée;Ja;SAMBREVILLE;Namen
9130;Kieldrecht;Ja;BEVEREN-WAAS;Oost-Vlaanderen 
3640;KINROOI;Neen;KINROOI;Limburg
3870;Klein-Gelmen;Ja;HEERS;Limburg
3990;Kleine-Brogel;Ja;PEER;Limburg
3740;Kleine-Spouwen;Ja;BILZEN;Limburg
8420;Klemskerke;Ja;DE HAAN;West-Vlaanderen
8650;Klerken;Ja;HOUTHULST;West-Vlaanderen
9690;KLUISBERGEN;Neen;KLUISBERGEN;Oost-Vlaanderen 
9940;Kluizen;Ja;EVERGEM;Oost-Vlaanderen 
9910;Knesselare;Ja;AALTER;Oost-Vlaanderen 
8300;Knokke;Ja;KNOKKE-HEIST;West-Vlaanderen
8300;KNOKKE-HEIST;Neen;KNOKKE-HEIST;West-Vlaanderen
1730;Kobbegem;Ja;ASSE;Vlaams-Brabant
8680;KOEKELARE;Neen;KOEKELARE;West-Vlaanderen
1081;KOEKELBERG;Neen;KOEKELBERG;Brussel (19 gemeenten)
3582;Koersel;Ja;BERINGEN;Limburg
8670;KOKSIJDE;Neen;KOKSIJDE;West-Vlaanderen
3700;Kolmont;Ja;TONGEREN;Limburg
3840;Kolmont;Ja;BORGLOON;Limburg
7780;Komen;Ja;KOMEN-WAASTEN;Henegouwen
7780;KOMEN-WAASTEN;Neen;KOMEN-WAASTEN;Henegouwen
2500;Koningshooikt;Ja;LIER;Antwerpen
3700;Koninksem;Ja;TONGEREN;Limburg
2550;KONTICH;Neen;KONTICH;Antwerpen
8510;Kooigem;Ja;KORTRIJK;West-Vlaanderen
8000;Koolkerke;Ja;BRUGGE;West-Vlaanderen
8851;Koolskamp;Ja;ARDOOIE;West-Vlaanderen
3060;Korbeek-Dijle;Ja;BERTEM;Vlaams-Brabant
3360;Korbeek-Lo;Ja;BIERBEEK;Vlaams-Brabant
8610;KORTEMARK;Neen;KORTEMARK;West-Vlaanderen
3470;KORTENAKEN;Neen;KORTENAKEN;Vlaams-Brabant
3070;KORTENBERG;Neen;KORTENBERG;Vlaams-Brabant
3720;KORTESSEM;Neen;KORTESSEM;Limburg
3890;Kortijs;Ja;GINGELOM;Limburg
8500;KORTRIJK;Neen;KORTRIJK;West-Vlaanderen
3220;Kortrijk-Dutsel;Ja;HOLSBEEK;Vlaams-Brabant
3850;Kozen;Ja;NIEUWERKERKEN;Limburg
1950;KRAAINEM;Neen;KRAAINEM;Vlaams-Brabant
8972;Krombeke;Ja;POPERINGE;West-Vlaanderen
9150;KRUIBEKE;Neen;KRUIBEKE;Oost-Vlaanderen 
9770;KRUISEM;Neen;KRUISEM;Oost-Vlaanderen 
9770;Kruishoutem;Ja;KRUISEM;Oost-Vlaanderen 
3300;Kumtich;Ja;TIENEN;Vlaams-Brabant
3511;Kuringen;Ja;HASSELT;Limburg
3840;Kuttekoven;Ja;BORGLOON;Limburg
8520;KUURNE;Neen;KUURNE;West-Vlaanderen
3945;Kwaadmechelen;Ja;HAM;Limburg
9690;Kwaremont;Ja;KLUISBERGEN;Oost-Vlaanderen 
1320;L'Ecluse;Ja;BEAUVECHAIN;Waals-Brabant
6464;L'Escaillère;Ja;CHIMAY;Henegouwen
7080;La Bouverie;Ja;FRAMERIES;Henegouwen
5080;LA BRUYÈRE;Neen;LA BRUYÈRE;Namen
7611;La Glanerie;Ja;RUMES;Henegouwen
4987;La Gleize;Ja;STOUMONT;Luik
7170;La Hestre;Ja;MANAGE;Henegouwen
1310;LA HULPE;Neen;LA HULPE;Waals-Brabant
7100;LA LOUVIÈRE;Neen;LA LOUVIÈRE;Henegouwen
4910;La Reid;Ja;THEUX;Luik
6980;LA ROCHE-EN-ARDENNE;Neen;LA ROCHE-EN-ARDENNE;Luxemburg
2430;LAAKDAL;Neen;LAAKDAL;Antwerpen
3400;Laar;Ja;LANDEN;Vlaams-Brabant
9270;LAARNE;Neen;LAARNE;Oost-Vlaanderen 
6567;Labuissière;Ja;MERBES-LE-CHÂTEAU;Henegouwen
6821;Lacuisine;Ja;FLORENVILLE;Luxemburg
7950;Ladeuze;Ja;CHIÈVRES;Henegouwen
5550;Laforêt;Ja;VRESSE-SUR-SEMOIS;Namen
7890;Lahamaide;Ja;ELLEZELLES;Henegouwen
1020;Laken;Ja;BRUSSEL;Brussel (19 gemeenten)
7522;Lamain;Ja;TOURNAI;Henegouwen
4800;Lambermont;Ja;VERVIERS;Luik
6220;Lambusart;Ja;FLEURUS;Henegouwen
4350;Lamine;Ja;REMICOURT;Luik
4210;Lamontzée;Ja;BURDINNE;Luik
6767;Lamorteau;Ja;ROUVROY;Luxemburg
8600;Lampernisse;Ja;DIKSMUIDE;West-Vlaanderen
3620;LANAKEN;Neen;LANAKEN;Limburg
4600;Lanaye;Ja;VISÉ;Luik
9850;Landegem;Ja;DEINZE;Oost-Vlaanderen 
6111;Landelies;Ja;MONTIGNY-LE-TILLEUL;Henegouwen
3400;LANDEN;Neen;LANDEN;Vlaams-Brabant
5300;Landenne;Ja;ANDENNE;Namen
9860;Landskouter;Ja;OOSTERZELE;Oost-Vlaanderen 
5651;Laneffe;Ja;WALCOURT;Namen
3201;Langdorp;Ja;AARSCHOT;Vlaams-Brabant
8920;Langemark;Ja;LANGEMARK-POELKAPELLE;West-Vlaanderen
8920;LANGEMARK-POELKAPELLE;Neen;LANGEMARK-POELKAPELLE;West-Vlaanderen
3650;Lanklaar;Ja;DILSEN-STOKKEM;Limburg
7800;Lanquesaint;Ja;ATH;Henegouwen
4450;Lantin;Ja;JUPRELLE;Luik
4300;Lantremange;Ja;WAREMME;Luik
7622;Laplaigne;Ja;BRUNEHAUT;Henegouwen
8340;Lapscheure;Ja;DAMME;West-Vlaanderen
1380;LASNE;Neen;LASNE;Waals-Brabant
1380;Lasne-Chapelle-Saint-Lambert;Ja;LASNE;Waals-Brabant
1370;Lathuy;Ja;JODOIGNE;Waals-Brabant
4261;Latinne;Ja;BRAIVES;Luik
6761;Latour;Ja;VIRTON;Luxemburg
3700;Lauw;Ja;TONGEREN;Limburg
8930;Lauwe;Ja;MENEN;West-Vlaanderen
6681;Lavacherie;Ja;SAINTE-ODE;Luxemburg
5580;Lavaux-Sainte-Anne;Ja;ROCHEFORT;Namen
4217;Lavoir;Ja;HÉRON;Luik
5670;Le Mesnil;Ja;VIROINVAL;Namen
7070;LE ROEULX;Neen;LE ROEULX;Henegouwen
5070;Le Roux;Ja;FOSSES-LA-VILLE;Namen
9280;LEBBEKE;Neen;LEBBEKE;Oost-Vlaanderen 
9340;LEDE;Neen;LEDE;Oost-Vlaanderen 
9050;Ledeberg;Ja;GENT;Oost-Vlaanderen 
8880;LEDEGEM;Neen;LEDEGEM;West-Vlaanderen
3061;Leefdaal;Ja;BERTEM;Vlaams-Brabant
1755;Leerbeek;Ja;GOOIK;Vlaams-Brabant
6142;Leernes;Ja;FONTAINE-L'EVÊQUE;Henegouwen
6530;Leers-Et-Fosteau;Ja;THUIN;Henegouwen
7730;Leers-Nord;Ja;ESTAIMPUIS;Henegouwen
2811;Leest;Ja;MECHELEN;Antwerpen
9620;Leeuwergem;Ja;ZOTTEGEM;Oost-Vlaanderen 
8432;Leffinge;Ja;MIDDELKERKE;West-Vlaanderen
6860;LÉGLISE;Neen;LÉGLISE;Luxemburg
5590;Leignon;Ja;CINEY;Namen
8691;Leisele;Ja;ALVERINGEM;West-Vlaanderen
8600;Leke;Ja;DIKSMUIDE;West-Vlaanderen
1502;Lembeek;Ja;HALLE;Vlaams-Brabant
9971;Lembeke;Ja;KAPRIJKE;Oost-Vlaanderen 
9820;Lemberge;Ja;MERELBEKE;Oost-Vlaanderen 
8860;LENDELEDE;Neen;LENDELEDE;West-Vlaanderen
1750;LENNIK;Neen;LENNIK;Vlaams-Brabant
7870;LENS;Neen;LENS;Henegouwen
4280;Lens-Saint-Remy;Ja;HANNUT;Luik
4250;Lens-Saint-Servais;Ja;GEER;Luik
4360;Lens-Sur-Geer;Ja;OREYE;Luik
3970;LEOPOLDSBURG;Neen;LEOPOLDSBURG;Limburg
4560;Les Avins;Ja;CLAVIER;Luik
6210;LES BONS VILLERS;Neen;LES BONS VILLERS;Henegouwen
6811;Les Bulles;Ja;CHINY;Luxemburg
6830;Les Hayons;Ja;BOUILLON;Luxemburg
4317;Les Waleffes;Ja;FAIMES;Luik
7621;Lesdain;Ja;BRUNEHAUT;Henegouwen
7860;LESSINES;Neen;LESSINES;Henegouwen
5580;Lessive;Ja;ROCHEFORT;Namen
6953;Lesterny;Ja;NASSOGNE;Luxemburg
5170;Lesve;Ja;PROFONDEVILLE;Namen
7850;Lettelingen;Ja;EDINGEN;Henegouwen
9521;Letterhoutem;Ja;SINT-LIEVENS-HOUTEM;Oost-Vlaanderen 
6500;Leugnies;Ja;BEAUMONT;Henegouwen
9700;Leupegem;Ja;OUDENAARDE;Oost-Vlaanderen 
3630;Leut;Ja;MAASMECHELEN;Limburg
3000;LEUVEN;Neen;LEUVEN;Vlaams-Brabant
5310;Leuze;Ja;EGHEZÉE;Namen
7900;LEUZE-EN-HAINAUT;Neen;LEUZE-EN-HAINAUT;Henegouwen
6500;Leval-Chaudeville;Ja;BEAUMONT;Henegouwen
7134;Leval-Trahegnies;Ja;BINCHE;Henegouwen
6238;Liberchies;Ja;PONT-À-CELLES;Henegouwen
6890;LIBIN;Neen;LIBIN;Luxemburg
6800;LIBRAMONT-CHEVIGNY;Neen;LIBRAMONT-CHEVIGNY;Luxemburg
2460;Lichtaart;Ja;KASTERLEE;Antwerpen
8810;LICHTERVELDE;Neen;LICHTERVELDE;West-Vlaanderen
1770;LIEDEKERKE;Neen;LIEDEKERKE;Vlaams-Brabant
9400;Lieferinge;Ja;NINOVE;Oost-Vlaanderen 
4000;LIÈGE;Neen;LIÈGE;Luik
4020;LIÈGE;Neen;LIÈGE;Luik
4099;Liège X;;Liège X;
2500;LIER;Neen;LIER;Antwerpen
9570;LIERDE;Neen;LIERDE;Oost-Vlaanderen 
4990;LIERNEUX;Neen;LIERNEUX;Luik
5310;Liernu;Ja;EGHEZÉE;Namen
4042;Liers;Ja;HERSTAL;Luik
9930;LIEVEGEM;Neen;LIEVEGEM;Oost-Vlaanderen 
2870;Liezele;Ja;PUURS-SINT-AMANDS;Antwerpen
7812;Ligne;Ja;ATH;Henegouwen
4254;Ligney;Ja;GEER;Luik
5140;Ligny;Ja;SOMBREFFE;Namen
2275;LILLE;Neen;LILLE;Antwerpen
2040;Lillo;Ja;ANTWERPEN;Antwerpen
1428;Lillois-Witterzée;Ja;BRAINE-L'ALLEUD;Waals-Brabant
1300;Limal;Ja;WAVRE;Waals-Brabant
4830;LIMBOURG;Neen;LIMBOURG;Luik
1342;Limelette;Ja;OTTIGNIES-LOUVAIN-LA-NEUVE;Waals-Brabant
6670;Limerlé;Ja;GOUVY;Luxemburg
4357;Limont;Ja;DONCEEL;Luik
4287;LINCENT;Neen;LINCENT;Luik
3210;Linden;Ja;LUBBEEK;Vlaams-Brabant
1630;LINKEBEEK;Neen;LINKEBEEK;Vlaams-Brabant
3560;Linkhout;Ja;LUMMEN;Limburg
1357;Linsmeau;Ja;HÉLÉCINE;Waals-Brabant
2547;LINT;Neen;LINT;Antwerpen
3350;LINTER;Neen;LINTER;Vlaams-Brabant
2890;Lippelo;Ja;PUURS-SINT-AMANDS;Antwerpen
5501;Lisogne;Ja;DINANT;Namen
8380;Lissewege;Ja;BRUGGE;West-Vlaanderen
5101;Lives-Sur-Meuse;Ja;NAMUR;Namen
4600;Lixhe;Ja;VISÉ;Luik
8647;Lo;Ja;LO-RENINGE;West-Vlaanderen
8647;LO-RENINGE;Neen;LO-RENINGE;West-Vlaanderen
6540;LOBBES;Neen;LOBBES;Henegouwen
9080;LOCHRISTI;Neen;LOCHRISTI;Oost-Vlaanderen 
6042;Lodelinsart;Ja;CHARLEROI;Henegouwen
2990;Loenhout;Ja;WUUSTWEZEL;Antwerpen
8958;Loker;Ja;HEUVELLAND;West-Vlaanderen
9160;LOKEREN;Neen;LOKEREN;Oost-Vlaanderen 
3545;Loksbergen;Ja;HALEN;Limburg
